==============================================================================
==============================================================================
 Aug. 22 2020                  LANDSAT 5                       Time: 12:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 227 / 65
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2270651537   -6.82055    -55.33116    -0.03      0.15     0.15     1 
2270651546   -6.81959    -55.07471     0.08      0.01     0.08     1 
2270651548   -6.81936    -55.01773     0.05      0.07     0.09     1 
2270651549   -6.81924    -54.98924    -0.00     -0.01     0.01     1 
2270651550   -6.81912    -54.96075     0.01     -0.02     0.03     1 
2270651551   -6.81900    -54.93225     0.03     -0.04     0.05     1 
2270651552   -6.81888    -54.90376     0.01      0.01     0.01     1 
2270651553   -6.81875    -54.87528     0.03      0.02     0.04     1 
2270651554   -6.81863    -54.84679     0.04     -0.00     0.04     1 
2270651555   -6.81850    -54.81830    -0.01      0.00     0.01     1 
2270651556   -6.81837    -54.78981     0.01      0.02     0.02     1 
2270651561   -6.81770    -54.64738     0.01      0.06     0.06     1 
2270651563   -6.81742    -54.59042    -0.00     -0.01     0.02     1 
2270651564   -6.81727    -54.56193    -0.04     -0.00     0.04     1 
2270651565   -6.81713    -54.53345    -0.00      0.02     0.02     1 
2270651566   -6.81698    -54.50497    -0.02     -0.02     0.03     1 
2270651567   -6.81683    -54.47649    -0.06     -0.06     0.08     1 
2270651568   -6.81668    -54.44801    -0.02     -0.04     0.04     1 
2270651569   -6.81653    -54.41953    -0.02      0.02     0.03     1 
2270651570   -6.81638    -54.39105    -0.06      0.03     0.07     1 
2270651593   -6.84708    -55.87260    -0.00     -0.03     0.03     1 
2270651598   -6.84672    -55.73008     0.06      0.01     0.07     1 
2270651599   -6.84665    -55.70158    -0.01     -0.01     0.01     1 
2270651600   -6.84657    -55.67308    -0.00     -0.03     0.03     1 
2270651605   -6.84615    -55.53057     0.15     -0.10     0.18     1 
2270651621   -6.84454    -55.07461     0.18     -0.00     0.18     1 
2270651622   -6.84443    -55.04612     0.04     -0.10     0.11     1 
2270651624   -6.84419    -54.98913     0.09      0.03     0.10     1 
2270651625   -6.84407    -54.96064    -0.00      0.01     0.02     1 
2270651626   -6.84395    -54.93215     0.03      0.04     0.04     1 
2270651627   -6.84383    -54.90366    -0.01     -0.01     0.02     1 
2270651628   -6.84370    -54.87517     0.02      0.02     0.03     1 
2270651629   -6.84358    -54.84668     0.06      0.01     0.06     1 
2270651630   -6.84345    -54.81819    -0.00      0.00     0.00     1 
2270651631   -6.84332    -54.78970     0.02      0.01     0.03     1 
2270651632   -6.84319    -54.76121    -0.02     -0.03     0.03     1 
2270651636   -6.84264    -54.64726     0.02      0.04     0.05     1 
2270651638   -6.84236    -54.59029     0.02      0.03     0.04     1 
2270651640   -6.84207    -54.53332    -0.01     -0.00     0.01     1 
2270651641   -6.84192    -54.50484     0.02      0.03     0.03     1 
2270651642   -6.84178    -54.47636     0.01      0.01     0.02     1 
2270651643   -6.84163    -54.44788    -0.01     -0.07     0.07     1 
2270651644   -6.84147    -54.41939    -0.00     -0.02     0.02     1 
2270651645   -6.84132    -54.39091    -0.06      0.01     0.06     1 
2270651674   -6.87161    -55.70151     0.04     -0.02     0.05     1 
2270651675   -6.87153    -55.67301     0.02     -0.01     0.02     1 
2270651676   -6.87145    -55.64451     0.05     -0.10     0.12     1 
2270651678   -6.87128    -55.58750    -0.13     -0.10     0.17     1 
